---,Text,Responses,IsRandom?,Rarity,OnlyOnce?,Continuity
TestT1,"NSLOCTEXT(""[764BC544421451792E7780993B1AF217]"", ""50EC22544AD72D80D04D4CA8DDA695FF"", ""Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Sit amet facilisis magna etiam tempor. Quisque egestas diam in arcu cursus. Donec et odio pellentesque diam volutpat commodo sed egestas. Vulputate odio ut enim blandit volutpat maecenas volutpat blandit aliquam. Sed egestas egestas fringilla phasellus. Est ultricies integer quis auctor elit. Egestas egestas fringilla phasellus faucibus scelerisque eleifend. Nunc sed id semper risus in hendrerit gravida rutrum. Sed viverra ipsum nunc aliquet. Viverra orci sagittis eu volutpat odio facilisis mauris sit amet. Augue mauris augue neque gravida in. Ac tincidunt vitae semper quis.Tincidunt augue interdum velit euismod in pellentesque massa. Erat nam at lectus urna duis convallis convallis tellus id. Quam quisque id diam vel quam. Vitae elementum curabitur vitae nunc sed velit dignissim. Quisque sagittis purus sit amet volutpat. Posuere morbi leo urna molestie at elementum eu. Eget mauris pharetra et ultrices neque ornare aenean euismod. A condimentum vitae sapien pellentesque habitant morbi tristique senectus. Nullam eget felis eget nunc lobortis mattis aliquam faucibus. Orci ac auctor augue mauris augue neque. A lacus vestibulum sed arcu non odio euismod. Mauris cursus mattis molestie a iaculis.Et odio pellentesque diam volutpat commodo sed. Quis vel eros donec ac odio tempor orci. Iaculis nunc sed augue lacus viverra vitae congue. Sed euismod nisi porta lorem mollis aliquam ut porttitor. Ac odio tempor orci dapibus. Purus non enim praesent elementum facilisis leo vel fringilla. Erat imperdiet sed euismod nisi porta lorem mollis aliquam. Posuere sollicitudin aliquam ultrices sagittis orci a. Euismod quis viverra nibh cras pulvinar mattis nunc sed blandit. Nibh praesent tristique magna sit amet purus gravida quis blandit. A iaculis at erat pellentesque."")","(""TestR1"",""TestR2"",""TestLoopOut"",""TestBattleTrigger"",""ToLoopOut"")","False","Common","False","(UseProtagonist=True,ProtagonistToUse=-1,UseAntagonist=True,AntagonistToUse=-1)"
TestT2,"NSLOCTEXT(""[764BC544421451792E7780993B1AF217]"", ""F1D4CB5B49E9E63E54417DBFBA947D92"", ""This text should display one response."")","(""TestR3"")","False","Common","False","(UseProtagonist=True,ProtagonistToUse=-1,UseAntagonist=True,AntagonistToUse=-1)"
TestT3,"NSLOCTEXT(""[764BC544421451792E7780993B1AF217]"", ""D3350F39443B61F2DE9F71BC1DCD8E65"", ""This text should display three responses. Response 2 should return the user here. /n Response 3 should display and reward the player with the requirement for Response 1"")","(""TestR1"",""TestR2"",""TestR3"",""TestLoopOut"")","False","Common","False","(UseProtagonist=True,ProtagonistToUse=-1,UseAntagonist=True,AntagonistToUse=-1)"
TestTimed1,"NSLOCTEXT(""[764BC544421451792E7780993B1AF217]"", ""FF3957324E70D80D314D46BE998E98E8"", ""This message should have appeared 3 messages after the previous one."")","(""TestR1"",""TestR2"",""TestR3"")","False","Common","False","(UseProtagonist=False,ProtagonistToUse=-1,UseAntagonist=False,AntagonistToUse=-1)"
TestRandom1,"NSLOCTEXT(""[764BC544421451792E7780993B1AF217]"", ""DB025D534206497BF1B116BB1FB2486F"", ""This message should have appeared randomly. KEYC002"")","(""TestLoopOut"")","True","Common","False","(UseProtagonist=False,ProtagonistToUse=-1,UseAntagonist=False,AntagonistToUse=-1)"
TestRandom2,"NSLOCTEXT(""[764BC544421451792E7780993B1AF217]"", ""7D7F7EA647E91EBA621F0D8E7D134F5E"", ""This message should have appeared randomly. KEYR057"")","(""TestLoopOut"")","True","Rare","False","(UseProtagonist=False,ProtagonistToUse=-1,UseAntagonist=False,AntagonistToUse=-1)"
TestRandom3,"NSLOCTEXT(""[764BC544421451792E7780993B1AF217]"", ""97736617455FE7C5513F7798935D876C"", ""This message should have appeared randomly. KEYE981"")","(""TestLoopOut"")","True","Exotic","True","(UseProtagonist=False,ProtagonistToUse=-1,UseAntagonist=False,AntagonistToUse=-1)"
LoopExit,"NSLOCTEXT(""[764BC544421451792E7780993B1AF217]"", ""F764A427411AA264AC28E19A3746B196"", ""This is supposed to exit a text loop for testing purposes."")","(""TestLoopOut"")","False","Common","False","(UseProtagonist=True,ProtagonistToUse=0,UseAntagonist=True,AntagonistToUse=0)"
TestPB1,"NSLOCTEXT(""[764BC544421451792E7780993B1AF217]"", ""0A6264A448A8A8ECB2241C80AFF10306"", ""You won, and lost no ships. Congratulations."")","(""TestLoopOut"")","False","Common","False","(UseProtagonist=False,ProtagonistToUse=-1,UseAntagonist=False,AntagonistToUse=-1)"
TestPB2,"NSLOCTEXT(""[764BC544421451792E7780993B1AF217]"", ""FBCD43434496FBF78CA8C3A4CCBF8410"", ""You won, but lost some ships. Boo."")","(""TestLoopOut"")","False","Common","False","(UseProtagonist=False,ProtagonistToUse=-1,UseAntagonist=False,AntagonistToUse=-1)"
TestPB3,"NSLOCTEXT(""[764BC544421451792E7780993B1AF217]"", ""0971CED14F171A285B23329B4061861D"", ""You lost. Boo."")","(""TestLoopOut"")","False","Common","False","(UseProtagonist=False,ProtagonistToUse=-1,UseAntagonist=False,AntagonistToUse=-1)"
